v8-version,6,1,534,50,0
code-creation,Builtin,5,14552,0x3b7ad90142a0,359,"CallFunction_ReceiverIsNotNullOrUndefined"
code-creation,Stub,3,14559,0x3b7ad9014420,2296,"RecordWriteStub"
code-creation,Stub,3,14566,0x3b7ad9014d20,2292,"RecordWriteStub"
code-creation,Stub,3,14573,0x3b7ad9015620,2254,"RecordWriteStub"
code-creation,Stub,3,14580,0x3b7ad9015f00,2292,"RecordWriteStub"
code-creation,Handler,4,14587,0x3b7ad9016800,256,"An IC handler from the snapshot"
code-creation,Stub,3,14594,0x3b7ad9016900,2291,"RecordWriteStub"
code-creation,Stub,3,14601,0x3b7ad9017200,980,"RecordWriteStub"
code-creation,Stub,3,14608,0x3b7ad90175e0,2238,"RecordWriteStub"
code-creation,Stub,3,14615,0x3b7ad9017ea0,2266,"RecordWriteStub"
code-creation,Stub,3,14622,0x3b7ad9018780,189,"DoubleToIStub"
code-creation,Stub,3,14629,0x3b7ad9018840,2270,"RecordWriteStub"
code-creation,Handler,4,14636,0x3b7ad9019120,308,"An IC handler from the snapshot"
code-creation,Stub,3,14643,0x3b7ad9019260,2280,"RecordWriteStub"
code-creation,Stub,3,14650,0x3b7ad9019b60,2265,"RecordWriteStub"
code-creation,Stub,3,14657,0x3b7ad901a440,2229,"RecordWriteStub"
code-creation,Stub,3,14664,0x3b7ad901ad00,1412,"RecordWriteStub"
code-creation,Stub,3,14671,0x3b7ad901b2a0,2314,"RecordWriteStub"
code-creation,Stub,3,14678,0x3b7ad901bbc0,978,"RecordWriteStub"
code-creation,Stub,3,14685,0x3b7ad901bfa0,2272,"RecordWriteStub"
code-creation,Stub,3,14692,0x3b7ad901c880,2266,"RecordWriteStub"
code-creation,Stub,3,14699,0x3b7ad901d160,2296,"RecordWriteStub"
code-creation,Stub,3,14706,0x3b7ad901da60,978,"RecordWriteStub"
code-creation,Stub,3,14713,0x3b7ad901de40,2250,"RecordWriteStub"
code-creation,Stub,3,14720,0x3b7ad901e720,463,"InternalArraySingleArgumentConstructorStub"
code-creation,Stub,3,14727,0x3b7ad901e900,183,"DoubleToIStub"
code-creation,Stub,3,14734,0x3b7ad901e9c0,2300,"RecordWriteStub"
code-creation,Stub,3,14741,0x3b7ad901f2c0,2283,"RecordWriteStub"
code-creation,Stub,3,14748,0x3b7ad901fbc0,2254,"RecordWriteStub"
code-creation,Stub,3,14755,0x3b7ad90204a0,2242,"RecordWriteStub"
code-creation,Stub,3,14762,0x3b7ad9020d80,980,"RecordWriteStub"
code-creation,Handler,4,14769,0x3b7ad9021160,780,"An IC handler from the snapshot"
code-creation,Stub,3,14776,0x3b7ad9021480,2265,"RecordWriteStub"
code-creation,Stub,3,14783,0x3b7ad9021d60,483,"CreateAllocationSiteStub"
code-creation,Stub,3,14790,0x3b7ad9021f60,2292,"RecordWriteStub"
code-creation,Stub,3,14797,0x3b7ad9022860,2269,"RecordWriteStub"
code-creation,Stub,3,14804,0x3b7ad9023140,974,"RecordWriteStub"
code-creation,Stub,3,14811,0x3b7ad9023520,2280,"RecordWriteStub"
code-creation,Stub,3,14818,0x3b7ad9023e20,2275,"RecordWriteStub"
code-creation,Stub,3,14825,0x3b7ad9024720,2296,"RecordWriteStub"
code-creation,Stub,3,14832,0x3b7ad9025020,2254,"RecordWriteStub"
code-creation,Stub,3,14839,0x3b7ad9025900,2254,"RecordWriteStub"
code-creation,Stub,3,14846,0x3b7ad90261e0,591,"StringAddStub"
code-creation,Stub,3,14853,0x3b7ad9026440,1872,"StringAddStub"
code-creation,Builtin,5,14860,0x3b7ad9026ba0,298,"NonPrimitiveToPrimitive_Default"
code-creation,Stub,3,14867,0x3b7ad9026ce0,1869,"GetPropertyStub"
code-creation,Builtin,5,14874,0x3b7ad9027440,233,"Call_ReceiverIsNotNullOrUndefined"
code-creation,Builtin,5,14881,0x3b7ad9027540,364,"OrdinaryToPrimitive_Number"
code-creation,Handler,4,14888,0x3b7ad90276c0,308,"An IC handler from the snapshot"
code-creation,Stub,3,14895,0x3b7ad9027800,2238,"RecordWriteStub"
code-creation,Stub,3,14902,0x3b7ad90280c0,2300,"RecordWriteStub"
code-creation,Stub,3,14922,0x3b7ad90289c0,2245,"RecordWriteStub"
code-creation,Stub,3,14930,0x3b7ad90292a0,2291,"RecordWriteStub"
code-creation,Stub,3,14937,0x3b7ad9029ba0,2270,"RecordWriteStub"
code-creation,Stub,3,14944,0x3b7ad902a480,2254,"RecordWriteStub"
code-creation,Stub,3,14950,0x3b7ad902ad60,2285,"RecordWriteStub"
code-creation,Handler,4,14981,0x3b7ad902b660,308,"An IC handler from the snapshot"
code-creation,Handler,4,15008,0x3b7ad902b7a0,744,"An IC handler from the snapshot"
code-creation,Stub,3,15032,0x3b7ad902baa0,2296,"RecordWriteStub"
code-creation,Stub,3,15045,0x3b7ad902c3a0,2238,"RecordWriteStub"
code-creation,Stub,3,15057,0x3b7ad902cc60,2254,"RecordWriteStub"
code-creation,Stub,3,15069,0x3b7ad902d540,1391,"RecordWriteStub"
code-creation,Stub,3,15079,0x3b7ad902dac0,2242,"RecordWriteStub"
code-creation,Stub,3,15091,0x3b7ad902e3a0,2291,"RecordWriteStub"
code-creation,Stub,3,15102,0x3b7ad902eca0,183,"DoubleToIStub"
code-creation,Stub,3,15113,0x3b7ad902ed60,2266,"RecordWriteStub"
code-creation,Stub,3,15124,0x3b7ad902f640,2308,"RecordWriteStub"
